x,y,date,price
294,174,2025-03-22,81344.26229508196
343,149,2025-03-23,82300.54644808744
392,164,2025-03-24,81726.77595628415
441,52,2025-03-25,86010.92896174864
490,36,2025-03-26,86622.95081967213
539,176,2025-03-27,81267.75956284153
588,39,2025-03-28,86508.19672131147
637,183,2025-03-29,81000.0
686,188,2025-03-30,80808.7431693989
735,262,2025-03-31,77978.14207650273
784,189,2025-04-01,80770.49180327868
833,169,2025-04-02,81535.51912568306
882,158,2025-04-03,81956.28415300546
980,172,2025-04-05,81420.7650273224
1029,74,2025-04-06,85169.39890710382
1078,138,2025-04-07,82721.31147540984
1127,194,2025-04-08,80579.2349726776
1176,17,2025-04-09,87349.72677595628
1225,71,2025-04-10,85284.15300546448
